jackknife_resample,min,median,max,q95,q975,q99,q995,ratio
22,0.69702707548065,0.8834190726156915,4.029271605114885,2.489097447027685,2.737373066777317,2.7787050998224863,4.029271605114885,5.780652928491213
23,0.6974157283809764,0.8834773115025927,4.0232376168827635,2.4525542473252364,2.752354987517229,2.780967845409532,4.0232376168827635,5.7687795860620374
24,0.6974157283809764,0.8834773115025927,4.0232376168827635,2.4525542473252364,2.752354987517229,2.780967845409532,4.0232376168827635,5.7687795860620374
25,0.6971505611837393,0.8887413300439562,4.029452522452839,2.489071241330774,2.737304542910118,2.778637255820754,4.029452522452839,5.779888515919658
26,0.6981342471357779,0.8834392523509055,4.031220180431178,2.4893135124346397,2.7367199589318876,2.7779743840788784,4.031220180431178,5.7742765047983085
27,0.6978367800786223,0.8826275833501307,4.0326202481720514,2.489099763221402,2.7361878115910643,2.7774493586760496,4.0326202481720514,5.778744203935071
28,0.6972132636095508,0.889287039246129,4.063162838688752,2.491760292586647,2.7258267488986907,2.7659958872322856,4.063162838688752,5.827718792458573
29,0.6975764026445751,0.8843322847320236,4.175802180331572,2.442230165429201,2.506261084365286,2.9053398763906446,4.175802180331572,5.986157450998527
30,0.6963443931700941,0.8839073418242862,4.029564801535176,2.489346439973539,2.737311692942876,2.7785951511648777,4.029564801535176,5.786741217503973
31,0.69702707548065,0.8834190726156915,4.029271605114885,2.489097447027685,2.737373066777317,2.7787050998224863,4.029271605114885,5.780652928491213
32,0.6971505611837393,0.8887413300439562,4.029452522452839,2.489071241330774,2.737304542910118,2.778637255820754,4.029452522452839,5.779888515919658
33,0.6975764026445751,0.8843322847320236,4.175802180331572,2.442230165429201,2.506261084365286,2.9053398763906446,4.175802180331572,5.986157450998527
34,0.7004180732174479,0.8817016156834808,4.0351005578800105,2.4889490850468703,2.7352839432316127,2.776519242535565,4.0351005578800105,5.760988632609564
35,0.6974157283809764,0.8834773115025927,4.0232376168827635,2.4525542473252364,2.752354987517229,2.780967845409532,4.0232376168827635,5.7687795860620374
36,0.7029409560544742,0.8785543601110475,4.035359760117926,2.538139456627304,2.745793803957797,2.7764220416963474,4.035359760117926,5.74068095671638
37,0.7004180732174479,0.8817016156834808,4.0351005578800105,2.4889490850468703,2.7352839432316127,2.776519242535565,4.0351005578800105,5.760988632609564
38,0.7004180732174479,0.8817016156834808,4.0351005578800105,2.4889490850468703,2.7352839432316127,2.776519242535565,4.0351005578800105,5.760988632609564
39,0.6985040248398112,0.8820672589111715,4.033774554808356,2.4889718456577783,2.735757312524447,2.777016493687436,4.033774554808356,5.774876609670827
40,0.6985040248398112,0.8820672589111715,4.033774554808356,2.4889718456577783,2.735757312524447,2.777016493687436,4.033774554808356,5.774876609670827
41,0.7004180732174479,0.8817016156834808,4.0351005578800105,2.4889490850468703,2.7352839432316127,2.776519242535565,4.0351005578800105,5.760988632609564
42,0.6985040248398112,0.8820672589111715,4.033774554808356,2.4889718456577783,2.735757312524447,2.777016493687436,4.033774554808356,5.774876609670827
43,0.6992634624509758,0.8814969677162133,4.033906407851523,2.4887305729087292,2.7356695158600717,2.7769670487962475,4.033906407851523,5.768793343945571
44,0.6992634624509758,0.8814969677162133,4.033906407851523,2.4887305729087292,2.7356695158600717,2.7769670487962475,4.033906407851523,5.768793343945571
45,0.6978367800786223,0.8826275833501307,4.0326202481720514,2.489099763221402,2.7361878115910643,2.7774493586760496,4.0326202481720514,5.778744203935071
