resample,sd,min,max,q0.95,q0.99,q0.995,weights_ratio
62,0.4245661662731084,0.45670523787740114,2.8485024216011543,2.2623676465078346,2.6406274732189527,2.6406274732189527,6.237069745116021
63,0.5636118545397708,0.6055204893256958,5.039956512031999,2.219853867989309,3.8466149313079914,5.039956512031999,8.323345949274923
64,0.48924326872069046,0.6561606053553029,4.3118784887090555,2.0685323513263465,2.8556411635345045,4.3118784887090555,6.571376662233824
65,0.5254621945286208,0.6753986797072398,4.708020872407541,2.4779898694547056,2.697554661282467,4.324816173126501,6.970728569455145
66,0.5902894223465859,0.5666032130465865,4.491468633925789,1.4443352999572614,3.8787087239120743,4.491468633925789,7.927008761167223
67,0.4892382343502987,0.6366304545635002,3.723217419923671,2.473994553042371,3.0456969954324045,3.723217419923671,5.848318114904605
68,0.6147309706000552,0.6906667935001587,5.959381457822401,2.205954208351649,3.501696027827395,4.097800703039822,8.628446472171435
69,0.4875854218656447,0.47108118531811016,4.2484592894508095,2.0879812773694835,2.673160356436501,4.2484592894508095,9.018528911490964
70,0.5530417060653637,0.6409740384729674,4.701220203880779,2.3982028841272904,3.28465701280581,3.648319495854383,7.334493944685795
71,0.5163734531001924,0.6741431651683899,4.735228030322822,2.1372280062624274,3.8280750972292776,3.8280750972292776,7.024068884745037
72,0.4459768254470356,0.7001531563021285,3.0711668324551376,2.4520845824428914,3.0309545614140627,3.0711668324551376,4.386421463377471
73,0.6130023533270088,0.5588621463327069,5.964996045261595,2.25280962906418,4.982878244913947,4.982878244913947,10.673465870616434
74,0.5229032464889855,0.6600667725736449,4.488176500195031,2.3611261934649264,3.30219889855045,3.6987772759220006,6.799579507229743
75,0.5487351392476193,0.670229902263368,4.718220526474254,2.1413325109494834,3.672415020584216,4.718220526474254,7.039704600676293
76,0.4672539559724588,0.6407331043332644,3.7367445453080794,2.392192351001253,2.566014031339503,3.499061869950957,5.831982958327821
77,0.4992120369576072,0.7231027746162659,4.339440086568236,2.3090713645717673,2.7332609963088097,4.339440086568236,6.001138757725107
78,0.6950066025330802,0.6263217159198271,10.031810537902944,2.0395560277290326,4.397766753937339,4.652461305115209,16.01702492970414
79,0.5386391549356181,0.4678305584699363,5.1864946481621885,2.2039864717688737,3.3605096795816154,3.3672824293314623,11.08626735526829
80,0.5164323539300819,0.5686399895448869,4.637068995797102,1.948350776446755,3.4069562008741086,4.637068995797102,8.154665660268453
81,0.49444265286132943,0.5648343868751922,3.7031075436636622,1.9927720696582172,2.9863297981879287,3.7031075436636622,6.5560943698031515
82,0.6059004829211777,0.5655175864687262,4.430487015926683,1.9857165101807197,3.8774567889680043,4.187603130204728,7.834392991369323
