resample,18_34_CAT,18_34_ESP,18_34_Other,35_49_CAT,35_49_ESP,35_49_Other,50_64_CAT,50_64_ESP,50+_Other,65+_CAT,65+_ESP,check
23,144.88335366765915,9.720958263006066,68.70588838527192,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,7.105427357601002e-14
24,144.88335366765912,9.720958263006066,68.70588838527189,199.81771453416133,22.97868021445514,75.19808583403396,127.46593561428978,66.93006993743772,41.59568617286916,92.27677721656443,118.42685016025133,6.039613253960852e-14
25,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.9300699374377,41.59568617286915,92.27677721656443,118.42685016025132,3.552713678800501e-14
26,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403395,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656444,118.42685016025133,3.019806626980426e-14
27,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416127,22.978680214455146,75.19808583403396,127.46593561428978,66.93006993743772,41.595686172869165,92.27677721656444,118.42685016025132,8.171241461241152e-14
28,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428979,66.9300699374377,41.595686172869165,92.27677721656441,118.42685016025133,7.815970093361102e-14
29,144.88335366765915,9.720958263006066,68.7058883852719,199.81771453416127,22.97868021445515,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656444,118.42685016025133,7.815970093361102e-14
30,144.8833536676591,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025136,5.861977570020827e-14
31,144.88335366765912,9.720958263006064,68.70588838527189,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286915,92.27677721656443,118.42685016025132,6.572520305780927e-14
32,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416127,22.978680214455146,75.19808583403395,127.46593561428978,66.93006993743771,41.59568617286915,92.27677721656443,118.42685016025135,6.750155989720952e-14
