resample,sd,min,max,q0.95,q0.99,q0.995,weights_ratio
42,0.4896633195590132,0.7239088138117159,4.2517652951351135,2.401781067044293,2.890426768746926,4.134053408877207,5.873343733373815
43,0.5215773810061933,0.6464257363211248,4.51800703513815,2.4480231094327243,3.0682206590732894,4.438689861210028,6.98921280710541
44,0.4819399192755119,0.6673089588944435,3.761880013651487,2.531244908274161,2.626130964053393,3.6483848308078937,5.637388744014375
45,0.5386366454347844,0.5555709004362915,4.322663556832728,2.056042617044987,3.8447243487442813,4.322663556832728,7.7805794965829325
46,0.4895242339772079,0.7134197456540138,3.8123622479562393,2.3555815078079605,3.102754821593168,3.2198400469430495,5.343785718267904
47,0.5205900716602251,0.6820803965632263,4.72460301903642,2.5734255935009234,2.865237306211966,2.865237306211966,6.926753858990971
48,0.46355677281455965,0.6987479380194607,2.992617896236052,2.609270614739287,2.992617896236052,2.992617896236052,4.282828947901247
49,0.5119563062395069,0.7020599438266838,4.356935151720264,2.4513015990191396,2.848812169632686,4.356935151720264,6.205930405275838
50,0.4618410219009968,0.6793642007543189,3.069057025991605,2.109704545517973,3.0281497750366975,3.0281497750366975,4.517543053613859
51,0.5435287064597133,0.6196668658009469,5.167092667356186,2.5354845593745345,3.0621732177493546,4.425002053661829,8.338500817979819
52,0.528769108283369,0.6480638842004044,4.442744232875293,2.3064451980761653,3.2345709990784735,4.442744232875293,6.855410926589204
53,0.5534256027780377,0.5690407765367665,5.100313790394085,2.262768265606024,2.9984970229377987,4.438266937290524,8.96300230263823
54,0.5342232154915239,0.6246606374606872,4.771186263612133,2.589483955747314,2.8031223167007022,4.467552519226838,7.638045328112108
55,0.4566395958285085,0.6651614504705818,2.876848959096509,2.5880663095277368,2.8229682215938325,2.876848959096509,4.325038615904792
56,0.4904082640343103,0.6900002403917277,3.995969494720456,2.4656047767231684,2.5645284690352432,3.867262712401535,5.791258119637552
57,0.5387445410087032,0.6676026805300556,5.076794640008632,2.375592821936885,2.7087389548509684,4.720135068724144,7.604515062728353
58,0.5008443618439102,0.6980387155651843,4.680183958347382,2.39158738386643,2.8259771651703405,3.960778256424081,6.704762721589097
59,0.5766893733418198,0.5234904943675002,5.62727892593755,2.3705924431247034,3.675230858248958,4.016839270094373,10.749534110904207
60,0.5319603400062871,0.575341674231272,4.2489786872521265,2.139947468275413,3.4714058887254886,4.2489786872521265,7.385139783119813
